frame,keypoint_id,x,y,px,py,visibility
15,5,0.27733132,0.3719731,199,476,0.9600377082824707
15,6,0.26685616,0.37523046,192,480,0.9964206218719482
15,7,0.30488715,0.39354324,219,503,0.6058979034423828
15,8,0.2909625,0.39956385,209,511,0.9918946623802185
15,9,0.3418809,0.3904366,246,499,0.6440187096595764
15,10,0.3481444,0.38992566,250,499,0.9784253239631653
15,11,0.24991576,0.4387443,179,561,0.9716606736183167
15,12,0.24107759,0.44136587,173,564,0.992586076259613
15,13,0.28751206,0.47894707,207,613,0.8922339677810669
15,14,0.29250476,0.48189598,210,616,0.9755191206932068
15,15,0.21560682,0.50896114,155,651,0.7560530304908752
15,16,0.22260693,0.5150308,160,659,0.912038266658783
16,0,0.30769506,0.3469686,221,444,0.9616231322288513
16,1,0.3119279,0.34173027,224,437,0.6308740377426147
16,2,0.2977932,0.34157842,214,437,0.9762309193611145
16,3,0.29454064,0.34456247,212,441,0.12438865751028061
16,4,0.27382076,0.34436017,197,440,0.9805129766464233
16,5,0.27309567,0.3682236,196,471,0.9826206564903259
16,6,0.26417983,0.37025383,190,473,0.9984719157218933
16,7,0.30475026,0.39338753,219,503,0.7434252500534058
16,8,0.29387888,0.39948085,211,511,0.9949514865875244
16,9,0.34710464,0.3874365,249,495,0.7581014633178711
16,10,0.34028718,0.38920304,245,498,0.9854214191436768
16,11,0.24194247,0.43327928,174,554,0.9829859137535095
16,12,0.23335393,0.43497744,168,556,0.9956448078155518
16,13,0.2769231,0.4782265,199,612,0.9143847823143005
16,14,0.27919346,0.4800613,201,614,0.9807009696960449
16,15,0.2285959,0.51217425,164,655,0.7562545537948608
16,16,0.22442292,0.5167316,161,661,0.9111682772636414
17,0,0.3073036,0.34165135,221,437,0.9573745727539062
17,1,0.31180593,0.33668202,224,430,0.623137354850769
17,2,0.2976214,0.33621597,214,430,0.9728543758392334
17,3,0.29655665,0.34060973,213,435,0.12251762300729752
17,4,0.27342206,0.33921352,196,434,0.9765233397483826
17,5,0.27451062,0.3649,197,467,0.9814027547836304
17,6,0.2608411,0.36512485,187,467,0.9981586337089539
17,7,0.30392987,0.38821116,218,496,0.7610740065574646
17,8,0.28437737,0.3922559,204,502,0.9943341016769409
17,9,0.3528845,0.38401717,254,491,0.7754354476928711
17,10,0.33909044,0.38481584,244,492,0.9845294952392578
17,11,0.24538937,0.43067703,176,551,0.9844987988471985
17,12,0.23366739,0.43168053,168,552,0.995759904384613
17,13,0.27603468,0.47858778,198,612,0.9250013828277588
17,14,0.27461648,0.47974795,197,614,0.9818119406700134
17,15,0.22934265,0.5148417,165,658,0.7792232632637024
17,16,0.22223507,0.51846564,160,663,0.9164087772369385
18,0,0.30589107,0.339422,220,434,0.962056040763855
18,1,0.31150353,0.3348345,224,428,0.6820056438446045
18,2,0.29550037,0.33423722,212,427,0.975162148475647
18,3,0.3020812,0.3399214,217,435,0.16482338309288025
18,4,0.27095422,0.3379201,195,432,0.9766992330551147
18,5,0.28080735,0.3650495,202,467,0.9833372235298157
18,6,0.2606483,0.36412913,187,466,0.9981359243392944
18,7,0.30928344,0.38604134,222,494,0.779586672782898
18,8,0.30116653,0.38848925,216,497,0.9937133193016052
18,9,0.359115,0.3801039,258,486,0.7860398888587952
18,10,0.36015022,0.380442,259,486,0.9828127026557922
18,11,0.25026956,0.43053967,180,551,0.9829954504966736
18,12,0.23307535,0.43102354,167,551,0.9950240254402161
18,13,0.27676138,0.4809111,199,615,0.9120079278945923
18,14,0.27044314,0.48170304,194,616,0.9767842888832092
18,15,0.23689748,0.5199,170,665,0.7411397695541382
18,16,0.22351196,0.5228344,160,669,0.8932347893714905
19,0,0.30629814,0.33841655,220,433,0.9602541923522949
19,1,0.31121153,0.3337543,224,427,0.6881588101387024
19,2,0.2953092,0.3333704,212,426,0.9727116823196411
19,3,0.30217886,0.3389965,217,433,0.18752430379390717
19,4,0.26947048,0.33745673,194,431,0.9747253060340881
19,5,0.28188998,0.36419314,202,466,0.9855965971946716
19,6,0.2610886,0.363965,187,465,0.9979666471481323
19,7,0.31428775,0.38299593,226,490,0.815581202507019
19,8,0.31011721,0.38682884,223,495,0.9925734996795654
19,9,0.36761144,0.37814182,264,484,0.8141762018203735
19,10,0.3692634,0.37885934,265,484,0.9804903864860535
19,11,0.25184774,0.42880893,181,548,0.9855914115905762
19,12,0.23363087,0.4296083,168,549,0.9951949715614319
19,13,0.27730834,0.47885475,199,612,0.9281385540962219
19,14,0.26735577,0.48021036,192,614,0.978473424911499
19,15,0.23721029,0.51767325,170,662,0.784351646900177
19,16,0.21790569,0.5215395,156,667,0.9050990343093872
